epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4395,1.40769,1.98397,1.24161,0.81145,0.86558,0.89611,0.56401,1.26676,0.85068,1.14287,9.76512e-05,9.76512e-05,9.76512e-05
2,187.516,1.17343,0.94716,1.09538,0.87171,0.9139,0.94477,0.62766,1.1436,0.69445,1.09555,0.000189195,0.000189195,0.000189195
3,277.067,1.11199,0.81492,1.05865,0.91592,0.93654,0.96498,0.6272,1.18735,0.63946,1.11398,0.00027427,0.00027427,0.00027427
4,366.712,1.07279,0.74297,1.04131,0.93917,0.93672,0.96752,0.64032,1.17155,0.60668,1.10487,0.000264894,0.000264894,0.000264894
5,456.307,1.03926,0.68981,1.0244,0.92861,0.94017,0.95678,0.63265,1.17253,0.5851,1.09673,0.000255192,0.000255192,0.000255192
6,545.853,1.01085,0.65608,1.00926,0.92607,0.9476,0.96479,0.63612,1.16974,0.57477,1.09394,0.00024549,0.00024549,0.00024549
7,635.331,0.98811,0.63007,0.99699,0.94421,0.95427,0.97445,0.64235,1.15692,0.55427,1.08528,0.000235788,0.000235788,0.000235788
8,725.109,0.96921,0.60865,0.98946,0.94894,0.95093,0.96537,0.64297,1.15033,0.54133,1.08925,0.000226086,0.000226086,0.000226086
9,814.503,0.95011,0.59328,0.98146,0.93307,0.9611,0.96739,0.64258,1.17324,0.53504,1.08458,0.000216384,0.000216384,0.000216384
10,904.109,0.93656,0.58003,0.97583,0.94322,0.95237,0.96421,0.63449,1.19027,0.54444,1.10099,0.000206682,0.000206682,0.000206682
11,993.655,0.92158,0.5672,0.96873,0.94667,0.96145,0.96339,0.64703,1.15256,0.52915,1.08304,0.00019698,0.00019698,0.00019698
12,1083.38,0.90818,0.55621,0.96367,0.94685,0.94815,0.96125,0.63972,1.16514,0.54266,1.08096,0.000187278,0.000187278,0.000187278
13,1172.52,0.89841,0.54793,0.95889,0.94356,0.95932,0.96413,0.64061,1.17827,0.53011,1.09243,0.000177576,0.000177576,0.000177576
14,1261.81,0.88805,0.53779,0.95476,0.94455,0.95087,0.96135,0.63761,1.17163,0.5264,1.09323,0.000167874,0.000167874,0.000167874
15,1350.96,0.87847,0.53143,0.95152,0.9371,0.9552,0.96442,0.64082,1.17595,0.52155,1.093,0.000158172,0.000158172,0.000158172
16,1440.2,0.86806,0.52131,0.94746,0.94672,0.95284,0.96335,0.64014,1.18736,0.52019,1.09552,0.00014847,0.00014847,0.00014847
17,1529.42,0.85836,0.51694,0.94391,0.94381,0.95558,0.96154,0.6447,1.16848,0.51403,1.0947,0.000138768,0.000138768,0.000138768
18,1618.63,0.84903,0.51075,0.94023,0.95361,0.96229,0.96995,0.64894,1.17625,0.51382,1.09147,0.000129066,0.000129066,0.000129066
19,1708.03,0.84093,0.5042,0.93674,0.94555,0.95628,0.96755,0.64574,1.17509,0.51538,1.09206,0.000119364,0.000119364,0.000119364
20,1797.33,0.83333,0.49793,0.93414,0.94763,0.95301,0.96787,0.64611,1.18024,0.51433,1.09614,0.000109662,0.000109662,0.000109662
21,1916.18,0.77919,0.4286,0.93401,0.9505,0.95395,0.96476,0.64514,1.18084,0.51487,1.10169,9.996e-05,9.996e-05,9.996e-05
22,2003.6,0.76367,0.41873,0.92969,0.9413,0.9576,0.9691,0.64997,1.18072,0.51448,1.09895,9.0258e-05,9.0258e-05,9.0258e-05
23,2090.95,0.75401,0.41265,0.9249,0.95322,0.95137,0.96626,0.64952,1.1713,0.50618,1.09557,8.0556e-05,8.0556e-05,8.0556e-05
24,2178.12,0.74377,0.4065,0.92145,0.95197,0.95821,0.96751,0.65154,1.17433,0.50437,1.10183,7.0854e-05,7.0854e-05,7.0854e-05
25,2265.49,0.73079,0.4008,0.91684,0.95828,0.95491,0.96971,0.64844,1.17917,0.50524,1.10317,6.1152e-05,6.1152e-05,6.1152e-05
26,2352.71,0.7246,0.3952,0.91417,0.9455,0.95758,0.96553,0.64587,1.17333,0.50473,1.09957,5.145e-05,5.145e-05,5.145e-05
27,2439.81,0.71947,0.39289,0.91262,0.95234,0.9552,0.96644,0.64761,1.17261,0.50183,1.09806,4.1748e-05,4.1748e-05,4.1748e-05
28,2526.99,0.70921,0.38707,0.90948,0.95223,0.95111,0.96469,0.65137,1.1823,0.50663,1.10646,3.2046e-05,3.2046e-05,3.2046e-05
29,2614.16,0.70398,0.3849,0.90765,0.95713,0.95825,0.97117,0.65309,1.1801,0.50363,1.10478,2.2344e-05,2.2344e-05,2.2344e-05
30,2701.52,0.69919,0.38196,0.90589,0.9525,0.95859,0.96832,0.65059,1.17906,0.50358,1.10491,1.2642e-05,1.2642e-05,1.2642e-05
