epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9589,1.6975,4.76867,1.54613,0.51978,0.12713,0.03774,0.02252,1.61852,6.0499,1.29955,3.57473e-05,3.57473e-05,3.57473e-05
2,104.397,1.33715,2.52831,1.24558,0.51547,0.28055,0.24701,0.15933,1.39561,2.02917,1.19217,6.9702e-05,6.9702e-05,6.9702e-05
3,161.446,1.2532,1.87884,1.20094,0.60513,0.3142,0.37181,0.23028,1.48734,1.7756,1.20018,0.000101259,0.000101259,0.000101259
4,204.097,1.18784,1.5298,1.17429,0.65824,0.35638,0.44113,0.30218,1.20263,1.51623,1.12201,9.8209e-05,9.8209e-05,9.8209e-05
5,240.249,1.12392,1.30136,1.14024,0.58613,0.43093,0.48941,0.32678,1.23259,1.5077,1.1054,9.4612e-05,9.4612e-05,9.4612e-05
6,277.212,1.09234,1.16037,1.12605,0.52343,0.47239,0.49291,0.32811,1.33995,1.47491,1.1761,9.1015e-05,9.1015e-05,9.1015e-05
7,319.735,1.05568,1.0475,1.10074,0.54775,0.55705,0.58056,0.39267,1.2525,1.37337,1.12321,8.7418e-05,8.7418e-05,8.7418e-05
8,363.076,1.02573,0.96789,1.08158,0.66999,0.54992,0.63117,0.42418,1.22755,1.27534,1.13113,8.3821e-05,8.3821e-05,8.3821e-05
9,400.039,1.01524,0.91577,1.08782,0.59144,0.57073,0.62024,0.43153,1.06583,1.29809,1.07755,8.0224e-05,8.0224e-05,8.0224e-05
10,436.325,0.98193,0.85103,1.06659,0.68485,0.56209,0.66931,0.4493,1.26172,1.22668,1.1301,7.6627e-05,7.6627e-05,7.6627e-05
11,478.447,0.96046,0.80366,1.05646,0.63589,0.62869,0.69539,0.49367,1.08082,1.16838,1.06854,7.303e-05,7.303e-05,7.303e-05
12,514.568,0.94686,0.76803,1.04358,0.61472,0.59079,0.66901,0.47568,1.06948,1.17792,1.06263,6.9433e-05,6.9433e-05,6.9433e-05
13,556.742,0.92512,0.73614,1.03727,0.54694,0.56185,0.60452,0.44631,0.99464,1.28896,1.0472,6.5836e-05,6.5836e-05,6.5836e-05
14,599.179,0.90123,0.7023,1.02328,0.59735,0.66769,0.68907,0.49493,1.10395,1.08779,1.06642,6.2239e-05,6.2239e-05,6.2239e-05
15,641.467,0.89337,0.67109,1.01845,0.65846,0.62707,0.69043,0.50659,1.024,1.05773,1.05728,5.8642e-05,5.8642e-05,5.8642e-05
16,683.642,0.883,0.64755,1.01404,0.67743,0.64582,0.71837,0.52049,1.02234,1.04823,1.04345,5.5045e-05,5.5045e-05,5.5045e-05
17,725.902,0.86961,0.62986,1.00898,0.63664,0.63523,0.70979,0.49982,1.03794,1.03275,1.04544,5.1448e-05,5.1448e-05,5.1448e-05
18,761.716,0.84376,0.61075,1.0047,0.67076,0.72104,0.73943,0.52809,1.05389,0.99147,1.05763,4.7851e-05,4.7851e-05,4.7851e-05
19,804.153,0.83552,0.59368,0.99672,0.67941,0.68278,0.7335,0.5328,1.07551,0.96903,1.07027,4.4254e-05,4.4254e-05,4.4254e-05
20,846.88,0.83671,0.58853,0.99546,0.76389,0.64637,0.75956,0.56247,0.9666,0.93821,1.03515,4.0657e-05,4.0657e-05,4.0657e-05
21,923.27,0.76882,0.48579,0.97286,0.66305,0.66161,0.7213,0.53495,1.00294,0.9816,1.0471,3.706e-05,3.706e-05,3.706e-05
22,964.906,0.75527,0.47059,0.96277,0.65331,0.72254,0.75289,0.55068,1.03972,0.92896,1.05291,3.3463e-05,3.3463e-05,3.3463e-05
23,1006.94,0.736,0.45855,0.96399,0.66055,0.70218,0.74295,0.53955,1.07312,0.96768,1.06769,2.9866e-05,2.9866e-05,2.9866e-05
24,1042.69,0.72153,0.44649,0.9508,0.68291,0.70617,0.75808,0.56086,1.00274,0.95751,1.04248,2.6269e-05,2.6269e-05,2.6269e-05
25,1080.19,0.71079,0.42817,0.94012,0.66368,0.67577,0.73838,0.55769,0.93005,0.95353,1.02455,2.2672e-05,2.2672e-05,2.2672e-05
26,1115.88,0.69698,0.42106,0.94331,0.66129,0.73486,0.76141,0.56108,1.03639,0.91705,1.05668,1.9075e-05,1.9075e-05,1.9075e-05
27,1152.37,0.69438,0.41249,0.93189,0.68003,0.71204,0.74,0.54978,0.95664,0.91955,1.03166,1.5478e-05,1.5478e-05,1.5478e-05
28,1194.56,0.67053,0.39841,0.9253,0.7293,0.70788,0.75106,0.56111,0.93209,0.90269,1.03203,1.1881e-05,1.1881e-05,1.1881e-05
29,1230.27,0.6715,0.39605,0.92649,0.6655,0.6801,0.74443,0.5587,0.95941,0.92658,1.03655,8.284e-06,8.284e-06,8.284e-06
30,1265.99,0.66282,0.39423,0.92714,0.69682,0.67259,0.74324,0.55775,0.94969,0.92146,1.03422,4.687e-06,4.687e-06,4.687e-06
